时间, 19:22
节点, 点号, 采样值
1, 58, 0.00
1, 59, 0.00
1, 72, 0.00
1, 73, 0.00
1, 74, 0.00
1, 75, 0.00
2, 58, 0.00
2, 59, 0.00
2, 72, 0.00
2, 73, 0.00
2, 74, 0.00
2, 75, 0.00
3, 58, 0.00
3, 59, 0.00
3, 72, 0.00
3, 73, 0.00
3, 74, 0.00
3, 75, 0.00
4, 58, 0.00
4, 59, 0.00
4, 72, 0.00
4, 73, 0.00
4, 74, 0.00
4, 75, 0.00
5, 58, 0.00
5, 59, 0.00
5, 72, 0.00
5, 73, 0.00
5, 74, 0.00
5, 75, 0.00
6, 58, 0.00
6, 59, 0.00
6, 72, 0.00
6, 73, 0.00
6, 74, 0.00
6, 75, 0.00
7, 58, 0.00
7, 59, 0.00
7, 72, 0.00
7, 73, 0.00
7, 74, 0.00
7, 75, 0.00
8, 58, 0.00
8, 59, 0.00
8, 72, 0.00
8, 73, 0.00
8, 74, 0.00
8, 75, 0.00
9, 58, 0.00
9, 59, 0.00
9, 72, 0.00
9, 73, 0.00
9, 74, 0.00
9, 75, 0.00
10, 58, 0.00
10, 59, 0.00
10, 72, 0.00
10, 73, 0.00
10, 74, 0.00
10, 75, 0.00
11, 58, 0.00
11, 59, 0.00
11, 72, 0.00
11, 73, 0.00
11, 74, 0.00
11, 75, 0.00
12, 58, 0.00
12, 59, 0.00
12, 72, 0.00
12, 73, 0.00
12, 74, 0.00
12, 75, 0.00
13, 58, 0.00
13, 59, 0.00
13, 72, 0.00
13, 73, 0.00
13, 74, 0.00
13, 75, 0.00
14, 58, 0.00
14, 59, 0.00
14, 72, 0.00
14, 73, 0.00
14, 74, 0.00
14, 75, 0.00
15, 58, 0.00
15, 59, 0.00
15, 72, 0.00
15, 73, 0.00
15, 74, 0.00
15, 75, 0.00
16, 58, 0.00
16, 59, 0.00
16, 72, 0.00
16, 73, 0.00
16, 74, 0.00
16, 75, 0.00
17, 58, 0.00
17, 59, 0.00
17, 72, 0.00
17, 73, 0.00
17, 74, 0.00
17, 75, 0.00
18, 58, 0.00
18, 59, 0.00
18, 72, 0.00
18, 73, 0.00
18, 74, 0.00
18, 75, 0.00
19, 58, 0.00
19, 59, 0.00
19, 72, 0.00
19, 73, 0.00
19, 74, 0.00
19, 75, 0.00
20, 58, 0.00
20, 59, 0.00
20, 72, 0.00
20, 73, 0.00
20, 74, 0.00
20, 75, 0.00
21, 58, 0.00
21, 59, 0.00
21, 72, 0.00
21, 73, 0.00
21, 74, 0.00
21, 75, 0.00
22, 58, 0.00
22, 59, 0.00
22, 72, 0.00
22, 73, 0.00
22, 74, 0.00
22, 75, 0.00
23, 58, 0.00
23, 59, 0.00
23, 72, 0.00
23, 73, 0.00
23, 74, 0.00
23, 75, 0.00
24, 58, 0.00
24, 59, 0.00
24, 72, 0.00
24, 73, 0.00
24, 74, 0.00
24, 75, 0.00
25, 58, 0.00
25, 59, 0.00
25, 72, 0.00
25, 73, 0.00
25, 74, 0.00
25, 75, 0.00
26, 58, 0.00
26, 59, 0.00
26, 72, 0.00
26, 73, 0.00
26, 74, 0.00
26, 75, 0.00
27, 58, 0.00
27, 59, 0.00
27, 72, 0.00
27, 73, 0.00
27, 74, 0.00
27, 75, 0.00
28, 58, 0.00
28, 59, 0.00
28, 72, 0.00
28, 73, 0.00
28, 74, 0.00
28, 75, 0.00
29, 58, 0.00
29, 59, 0.00
29, 72, 0.00
29, 73, 0.00
29, 74, 0.00
29, 75, 0.00
30, 58, 0.00
30, 59, 0.00
30, 72, 0.00
30, 73, 0.00
30, 74, 0.00
30, 75, 0.00
31, 58, 0.00
31, 59, 0.00
31, 72, 0.00
31, 73, 0.00
31, 74, 0.00
31, 75, 0.00
32, 58, 0.00
32, 59, 0.00
32, 72, 0.00
32, 73, 0.00
32, 74, 0.00
32, 75, 0.00
33, 58, 0.00
33, 59, 0.00
33, 72, 0.00
33, 73, 0.00
33, 74, 0.00
33, 75, 0.00
34, 58, 0.00
34, 59, 0.00
34, 72, 0.00
34, 73, 0.00
34, 74, 0.00
34, 75, 0.00
35, 58, 0.00
35, 59, 0.00
35, 72, 0.00
35, 73, 0.00
35, 74, 0.00
35, 75, 0.00
36, 58, 0.00
36, 59, 0.00
36, 72, 0.00
36, 73, 0.00
36, 74, 0.00
36, 75, 0.00
37, 58, 0.00
