容量,节点遥测定义,
96,,
序号,名称,标度系数,参比因子,基值,有效上限,有效下限,合理上限,合理下限,残差,滤波系数,有效梯度,单位,不判断值无效,IEC61850标志有效,符号变反,取绝对值,梯度处理,判越限,值突变处理,简单突变处理,有计划值,保留曲线数据,,
0,A机_s_modbus1_通道0状态最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
1,A机_s_modbus1_通道0状态最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
2,A机_s_modbus1_通道0状态平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
3,A机_c_modbus1_通道0状态最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
4,A机_c_modbus1_通道0状态最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
5,A机_c_modbus1_通道0状态平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
6,A机_s_modbus2_通道0状态最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
7,A机_s_modbus2_通道0状态最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
8,A机_s_modbus2_通道0状态平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
9,A机_c_modbus2_通道0状态最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
10,A机_c_modbus2_通道0状态最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
11,A机_c_modbus2_通道0状态平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
12,A机_s_modbus3_通道0状态最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
13,A机_s_modbus3_通道0状态最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
14,A机_s_modbus3_通道0状态平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
15,A机_c_modbus3_通道0状态最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
16,A机_c_modbus3_通道0状态最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
17,A机_c_modbus3_通道0状态平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
18,A机_s_modbus4_通道0状态最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
19,A机_s_modbus4_通道0状态最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
20,A机_s_modbus4_通道0状态平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
